alias,entity_type,canonical_id,notes
congress,org,united-states-congress,"1245 articles. Collides only with 'Library of Congress', which longest-match-wins resolves: the longer key owns the span."
postal service,org,united-states-postal-service,"Collides only with bill hr-3076-117 ('Postal Service Reform Act'), which longest-match-wins resolves: the bill's longer key owns the span."
rfk jr,politician,EXEC-KENNEDY-RFK,"337 articles. Canonical 'Robert F. Kennedy Jr.' is rarely written out; copy uses the initialism. Largest single miss bucket in the 2026-08-05 gate eval (23 of ~110). Unambiguous: the catalog's other Kennedys (John K000393, Timothy K000402, Mike K000403) share no whole-word overlap with this form."
robert f. kennedy,politician,EXEC-KENNEDY-RFK,"168 articles. Rescues the possessive case the canonical name cannot match: _word_pattern anchors a word boundary after the trailing period, so 'Robert F. Kennedy Jr.'s' fails to match 'Robert F. Kennedy Jr.' while this shorter form matches. No RFK Sr. dossier exists, so the referent is unambiguous in this catalog."
fauci,politician,EXEC-FAUCI-A,"379 articles. Second-largest miss bucket in the 2026-08-05 gate eval (16 of ~110). Surname alone, and the only Fauci in the catalog. Curated rather than derived, per the #40 rule: the hazard there was common-noun surnames (Cloud, Banks, Hill), and 'Fauci' is not a common noun."
bbc,outlet,bbc-news,"1068 articles — the single most-mentioned blocked form in the corpus. Canonical is 'BBC News' but copy overwhelmingly writes the initialism alone. Needs _MIN_CURATED_KEY_LENGTH (3 chars); was silently undroppable-but-unmatchable before that existed. Sampled titles are all the broadcaster."
cnn,outlet,cnn,"397 articles. Canonical name IS 'CNN', so the outlet was unlinkable on its own name until the curated floor landed — primary_name gets no exemption, only curated rows do. Self-referential alias is intentional and is how a sub-4-char canonical name becomes searchable."
npr,outlet,npr,"241 articles. Same self-referential case as cnn. Sampled titles are all the broadcaster."
stat news,outlet,stat-news,"The narrower-alias escape hatch for a blocked name: canonical 'STAT' is in _REGEX_INELIGIBLE_NAMES because all 111 third-party chips were the common noun ('Most Absurd Stat', 'add to your cart stat'). Restores 0 links today — measured 2026-08-06, the corpus holds zero third-party mentions of STAT in any casing, and all 37 articles containing 'STAT News' are STAT's own. Curated anyway so the outlet stays linkable in principle rather than silently unnameable; this is the row a future third-party 'STAT News reported' mention will land on."
nature study,outlet,nature,"The narrower-alias escape hatch for a blocked name: canonical 'Nature' is in _REGEX_INELIGIBLE_NAMES because 93% of its matches were the common noun ('the nature of the meeting'). Measured 2026-08-06: 10 corpus matches, 0 followed by a Nature sub-journal, all the journal. Restores 1 link today — 9 of the 10 are Nature's own feed and self-outlet suppressed. Curated for the third-party case ('A Nature study found that TikTok's algorithm...', The Guardian US)."
study in nature,outlet,nature,"Second measured-safe form for the blocked 'Nature'. 2 corpus matches 2026-08-06, both the journal, both Nature's own feed — so it restores 0 links today, same posture as 'stat news'. Deliberately NOT 'published in Nature': that has 88 third-party matches but 62 continue into a different journal ('Nature Communications', 'Nature Medicine'), and a whole-phrase key matches the boundary after 'Nature', so it would be 70% wrong. Those 26 genuine bare mentions stay with the LLM path."
