slug,term,definition,definition_source,definition_checked,aliases,category,notes
subpoena,Subpoena,"A command to appear and testify, or to produce documents or other evidence. Courts issue them, and congressional committees may issue them within their authority; ignoring one can expose the recipient to contempt proceedings.",https://www.law.cornell.edu/wex/subpoena,2026-08-17,[],courts,"Pairs with contempt-of-congress — the subpoena is what contempt is usually downstream of."
injunction,Injunction,"A court order requiring a party to do something, or more often to stop doing it. A preliminary injunction holds the position while a case is litigated; a permanent injunction forms part of the final judgment.",https://www.law.cornell.edu/wex/injunction,2026-08-17,"[""preliminary injunction""]",courts,""
defamation,Defamation,"A false statement of fact, communicated to others, that injures someone's reputation. U.S. law sets a higher bar where the subject is a public official or public figure: they must also show the statement was made knowing it was false, or with reckless disregard for whether it was.",https://www.law.cornell.edu/wex/defamation,2026-08-17,[],first-amendment,""
insider-trading,Insider Trading,"Buying or selling a security while holding material, non-public information about it, in breach of a duty of trust or confidence. It reaches both corporate insiders and people who receive such information from them.",https://www.law.cornell.edu/wex/insider_trading,2026-08-17,[],business,""
asylum,Asylum,"Protection for someone already in the United States, or arriving at its border, who cannot return home because of persecution or a well-founded fear of persecution on account of race, religion, nationality, political opinion, or membership in a particular social group.",https://www.law.cornell.edu/uscode/text/8/1158,2026-08-17,[],immigration,""
war-powers-resolution,War Powers Resolution,"A 1973 law requiring the President to notify Congress within 48 hours of committing armed forces to hostilities, and to withdraw them within 60 days unless Congress authorizes the deployment. Presidents of both parties have disputed parts of it as an unconstitutional limit on the commander-in-chief.",https://www.law.cornell.edu/uscode/text/50/1541,2026-08-17,"[""War Powers Act""]",executive,"The 'both parties have disputed it' clause is load-bearing for D37 — the objection is not partisan."
presidential-pardon,Presidential Pardon,"The President's constitutional power to grant reprieves and pardons for offences against the United States, except in cases of impeachment. It reaches federal offences only, so it cannot excuse a state crime.",https://www.law.cornell.edu/constitution/articleii,2026-08-17,"[""pardon power""]",executive,"Term is the two-word phrase rather than bare 'pardon', which matches 'I beg your pardon' — the #40 rule applied to a common English word. Coverage also picks up FOREIGN pardons (a Malawi presidential pardon was in the matched set); the definition is scoped to Article II, the coverage query is not. See the scope note in scripts/README.md."
recusal,Recusal,"A judge's or official's withdrawal from a matter because their impartiality might reasonably be questioned — for instance a financial interest in the outcome, or a personal relationship with a party. The grounds for federal judges are set by statute.",https://www.law.cornell.edu/uscode/text/28/455,2026-08-17,[],courts,"Coverage includes foreign judiciaries — recusal is a general legal concept and the query has no US filter. Same caveat as presidential-pardon."
special-counsel,Special Counsel,"An attorney appointed to investigate a matter when the Justice Department concludes that handling it normally would present a conflict of interest, or that appointment is otherwise in the public interest. The regulations require the appointee to be selected from outside the U.S. government.",https://www.law.cornell.edu/cfr/text/28/600.1,2026-08-17,[],executive,""
appropriations,Appropriations,"Legislation granting the legal authority to spend money from the Treasury. The Constitution's Appropriations Clause bars any withdrawal of public money except by an appropriation made by law — which is why a funding lapse stops spending outright rather than merely deferring it.",https://www.law.cornell.edu/constitution/articlei,2026-08-17,"[""Appropriations Clause""]",congress,""
filibuster,Filibuster,"A tactic for delaying or blocking a Senate vote by extending debate. The Senate has no general rule limiting debate, so ending one requires invoking cloture.",https://www.senate.gov/about/powers-procedures/filibusters-cloture.htm,2026-08-17,[],congress,""
cloture,Cloture,"The Senate procedure for ending debate and bringing a question to a vote. For most legislation it takes three-fifths of all senators — 60 when there are no vacancies — which is why that number, rather than a simple majority, is what a bill is often described as needing.",https://www.senate.gov/about/powers-procedures/filibusters-cloture.htm,2026-08-17,[],congress,"Below the publish floor on title/summary matching (0) but defined in 45 primers."
qualified-immunity,Qualified Immunity,"A defence that shields a government official from personal liability in a civil suit unless their conduct violated a clearly established statutory or constitutional right that a reasonable official would have known about.",https://www.law.cornell.edu/wex/qualified_immunity,2026-08-17,[],courts,"Below the publish floor on title/summary matching (6) but defined in 75 primers."
certiorari,Certiorari,"The order by which the Supreme Court agrees to review a lower court's decision. Review is discretionary: the Court grants a small fraction of petitions, and a denial sets no precedent and expresses no view on the merits.",https://www.law.cornell.edu/wex/certiorari,2026-08-17,"[""writ of certiorari""]",courts,"Below the publish floor on title/summary matching (5) but defined in 83 primers. The denial-is-not-a-ruling point is routinely misreported."
fifth-amendment,Fifth Amendment,"A constitutional provision carrying several protections at once: a grand jury for serious federal charges, no second prosecution for the same offence, no compulsion to be a witness against oneself, no deprivation of life, liberty or property without due process, and no taking of private property for public use without just compensation.",https://www.law.cornell.edu/constitution/fifth_amendment,2026-08-18,[],constitution,"Bare alias 'the Fifth' deliberately omitted — too common as ordinary text."
second-amendment,Second Amendment,"A constitutional provision stating that a well regulated militia being necessary to the security of a free state, the right of the people to keep and bear arms shall not be infringed.",https://www.law.cornell.edu/constitution/second_amendment,2026-08-18,[],constitution,""
conflict-of-interest,Conflict of Interest,"A situation where someone's official duty and their private interests pull in different directions — an official deciding a matter in which they hold a financial stake, for instance. It names the situation, not a finding that anyone acted on it.",https://www.law.cornell.edu/wex/conflict_of_interest,2026-08-18,[],ethics,"The situation-not-a-finding distinction is the one coverage most often collapses."
antitrust,Antitrust,"The body of law aimed at preserving competition: it restricts agreements that restrain trade, monopolisation, and mergers likely to substantially lessen competition. Enforced federally by the Justice Department and the Federal Trade Commission.",https://www.law.cornell.edu/wex/antitrust,2026-08-18,[],business,"357 text matches, hand-checked as a clean matcher."
voting-rights-act,Voting Rights Act,"Federal law barring any voting practice or procedure that denies or abridges the right to vote on account of race, colour, or membership in a language minority group. Section 2 applies nationwide and is enforced through litigation.",https://www.law.cornell.edu/uscode/text/52/10301,2026-08-18,[],elections,""
section-702,Section 702,"The provision of the Foreign Intelligence Surveillance Act authorising warrantless collection of communications of non-U.S. persons reasonably believed to be located outside the United States. Americans' communications are swept in incidentally, which is what the recurring reauthorisation fights turn on.",https://www.law.cornell.edu/uscode/text/50/1881a,2026-08-18,"[""FISA Section 702""]",surveillance,""
medicaid,Medicaid,"The joint federal-state programme paying for medical assistance for people with limited income and resources. Each state runs its own plan within federal requirements, so eligibility and covered services differ from state to state.",https://www.law.cornell.edu/uscode/text/42/1396a,2026-08-18,[],health,""
director-of-national-intelligence,Director of National Intelligence,"The head of the intelligence community and the President's principal intelligence adviser, a Senate-confirmed post created after the September 11 attacks. Oversees the agencies rather than directly running them.",https://www.law.cornell.edu/uscode/text/50/3023,2026-08-18,"[""DNI""]",executive,"DNI is all-caps so it matches case-sensitively — see isAcronym."
sanctions,Sanctions,"Restrictions a government imposes on trade, finance, or travel to coerce or penalise another state, entity, or person. Most U.S. sanctions rest on a national emergency declared under the International Emergency Economic Powers Act.",https://www.law.cornell.edu/uscode/text/50/1701,2026-08-18,[],world,"938 text matches, hand-checked clean."
export-controls,Export Controls,"Restrictions on which goods, software and technology may be sold abroad and to whom, used to keep sensitive capability away from particular countries or end users. Distinct from sanctions: the control follows the item, not the counterparty.",https://www.law.cornell.edu/uscode/text/50/4811,2026-08-18,"[""export control""]",world,""
monetary-policy,Monetary Policy,"A central bank's management of money and credit conditions to influence employment and prices. The Federal Reserve pursues a statutory dual mandate of maximum employment and stable prices, mainly by setting a target range for the federal funds rate.",https://www.federalreserve.gov/monetarypolicy.htm,2026-08-18,[],business,""
initial-public-offering,Initial Public Offering,"The first sale of a company's shares to the public, after which they trade on an exchange and the company takes on continuing disclosure obligations to the SEC.",https://www.investor.gov/introduction-investing/investing-basics/glossary/initial-public-offering-ipo,2026-08-18,"[""IPO""]",business,""
budget-reconciliation,Budget Reconciliation,"A congressional procedure letting certain budget-related legislation pass the Senate by simple majority, bypassing the filibuster, when it follows instructions set out in a budget resolution. Its scope is limited by rules barring provisions without a direct budgetary effect.",https://www.law.cornell.edu/uscode/text/2/641,2026-08-18,"[""reconciliation bill""]",congress,"Term is the two-word phrase: bare 'reconciliation' matches 348 articles including estranged-family and prisoner-release stories."
